Time_odroid,Current_Time,Latitude,Latitude_direction,Longitude,Longitude_direction,Number_of_satellites
1522234982.28,13:02:46,49.1375268333,N,9.22119316667,E,08
1522234983.28,13:02:47,49.1376246667,N,9.22118983333,E,08
1522234984.28,13:02:48,49.1377191667,N,9.22118183333,E,08
1522234985.28,13:02:49,49.1378145,N,9.22117166667,E,08
1522234986.27,13:02:50,49.137911,N,9.22116116667,E,08
1522234987.28,13:02:51,49.1379953333,N,9.22114333333,E,08
1522234988.27,13:02:52,49.1380856667,N,9.2211315,E,08
1522234989.27,13:02:53,49.1381805,N,9.22112516667,E,07
1522234990.28,13:02:54,49.1382741667,N,9.22111583333,E,07
1522234991.28,13:02:55,49.1383711667,N,9.22110683333,E,07
1522234992.28,13:02:56,49.1384736667,N,9.22109666667,E,08
1522234993.28,13:02:57,49.1385768333,N,9.22108033333,E,08
1522234994.27,13:02:58,49.1386773333,N,9.2210605,E,07
